id,event_id,ticket_class_id,name,email,status,checked_in,created
att-1018-001,evt-gcc-1018,tc-1018,Almaz Tesfaye,almaz.tesfaye@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-002,evt-gcc-1018,tc-1018,Hannah Kidd,hannah.kidd@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-003,evt-gcc-1018,tc-1018,Selamawit Gebre,selamawit.gebre@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-004,evt-gcc-1018,tc-1018,Bishnu Gurung,bishnu.gurung@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-005,evt-gcc-1018,tc-1018,Margaret Whitfield,margaret.whitfield@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-006,evt-gcc-1018,tc-1018,Rahel Tekle,rahel.tekle@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-007,evt-gcc-1018,tc-1018,Deborah Owens,deborah.owens@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-008,evt-gcc-1018,tc-1018,Sunita Thapa,sunita.thapa@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-009,evt-gcc-1018,tc-1018,Yordanos Haile,yordanos.haile@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-010,evt-gcc-1018,tc-1018,Ruth Mengistu,ruth.mengistu@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-011,evt-gcc-1018,tc-1018,Patricia Hollis,patricia.hollis@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-012,evt-gcc-1018,tc-1018,Kamala Rai,kamala.rai@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-013,evt-gcc-1018,tc-1018,Genet Asfaw,genet.asfaw@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-014,evt-gcc-1018,tc-1018,Eleni Bekele,eleni.bekele@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-015,evt-gcc-1018,tc-1018,Dawit Negash,dawit.negash@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-016,evt-gcc-1018,tc-1018,Carol Adkins,carol.adkins@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-017,evt-gcc-1018,tc-1018,Tirhas Berhe,tirhas.berhe@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-018,evt-gcc-1018,tc-1018,Pramila Magar,pramila.magar@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-019,evt-gcc-1018,tc-1018,Hiwot Kassa,hiwot.kassa@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-020,evt-gcc-1018,tc-1018,Joyce Pemberton,joyce.pemberton@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-021,evt-gcc-1018,tc-1018,Senait Araya,senait.araya@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-022,evt-gcc-1018,tc-1018,Bimala Shrestha,bimala.shrestha@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-023,evt-gcc-1018,tc-1018,Frances Donnelly,frances.donnelly@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-024,evt-gcc-1018,tc-1018,Meron Tadesse,meron.tadesse@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-025,evt-gcc-1018,tc-1018,Linda Cordray,linda.cordray@gmail.com,attending,false,2026-09-25T10:00:00Z
att-1018-026,evt-gcc-1018,tc-1018,Abel Girma,abel.girma@gmail.com,cancelled,false,2026-09-26T10:00:00Z
att-1018-027,evt-gcc-1018,tc-1018,Sushila Bhandari,sushila.bhandari@gmail.com,cancelled,false,2026-09-26T10:00:00Z
att-1018-028,evt-gcc-1018,tc-1018,Gladys Renfro,gladys.renfro@gmail.com,cancelled,false,2026-09-26T10:00:00Z
att-1121-001,evt-gcc-1121,tc-1121,Helen Marsh,helen.marsh@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-002,evt-gcc-1121,tc-1121,Tadesse Bekele,tadesse.bekele@gmail.com,attending,false,2026-10-02T10:00:00Z
att-1121-003,evt-gcc-1121,tc-1121,Maya Lawson,maya.lawson@gmail.com,attending,false,2026-10-02T10:00:00Z
